date,count,fatal,injury
20150825,700,0,106
20150826,714,0,108
20150827,724,0,110
20150828,727,0,118
20150829,641,0,102
20150830,678,0,115
20150831,742,0,128
20150901,739,0,113
20150902,775,0,122
20150903,758,0,93
20150904,759,0,116
20150905,649,0,108
20150906,614,0,110
20150907,586,0,101
20150908,927,0,132
20150909,857,0,117
20150910,849,0,133
20150911,892,0,127
20150912,657,0,103
20150913,562,0,84
20150914,696,0,117
20150915,687,0,108
20150916,878,0,131
20150917,878,0,134
20150918,889,0,129
20150919,789,0,134
20150920,669,0,113
20150921,739,0,115
20150922,667,0,96
20150923,585,0,84
20150924,764,0,145
20150925,702,0,117
20150926,663,0,106
20150927,594,0,101
20150928,681,0,95
20150929,669,0,112
20150930,732,0,98
20151001,819,0,136
20151002,928,0,130
20151003,652,0,96
20151004,649,0,113
20151005,707,0,111
20151006,747,0,116
20151007,790,0,122
20151008,785,0,119
20151009,884,0,120
20151010,756,0,107
20151011,666,0,107
20151012,605,0,100
20151013,865,0,141
20151014,791,0,133
20151015,814,0,131
20151016,789,0,113
20151017,671,0,106
20151018,645,0,94
20151019,762,0,95
20151020,847,0,133
20151021,853,0,133
20151022,797,0,131
20151023,893,0,151
20151024,601,0,82
20151025,618,0,96
20151026,816,0,118
20151027,733,0,102
20151028,832,0,143
20151029,911,0,144
20151030,803,0,115
20151031,427,0,70
20151101,366,0,54
20151102,715,0,103
20151103,784,0,129
20151104,799,0,127
20151105,803,0,113
20151106,720,0,104
20151107,585,0,85
20151108,559,0,87
20151109,745,0,130
20151110,903,0,147
20151111,615,0,85
20151112,748,0,111
20151113,787,0,110
20151114,718,0,105
20151115,602,0,102
20151116,736,0,118
20151117,806,0,122
20151118,736,0,108
20151119,970,0,173
20151120,982,0,163
20151121,692,0,95
20151122,514,0,83
20151123,812,0,109
20151124,831,0,98
20151125,843,0,126
20151126,458,0,75
20151127,586,0,106
20151128,618,0,110
20151129,526,0,73
20151130,715,0,104
20151201,909,0,163
20151202,787,0,132
20151203,716,0,93
20151204,804,0,124
20151205,745,0,116
20151206,572,0,87
20151207,780,0,112
20151208,714,0,96
20151209,668,0,93
20151210,780,0,112
20151211,803,0,109
20151212,684,0,106
20151213,652,0,103
20151214,752,0,115
20151215,880,0,127
20151216,788,0,115
20151217,902,0,157
20151218,897,0,130
20151219,716,0,92
20151220,584,0,84
20151221,714,0,103
20151222,823,0,124
20151223,976,0,171
20151224,728,0,125
20151225,389,0,68
20151226,470,0,76
20151227,627,0,109
20151228,582,0,92
20151229,636,0,103
20151230,607,0,106
20151231,607,0,80
20160101,466,0,72
20160102,495,0,73
20160103,521,0,88
20160104,701,0,100
20160105,731,0,91
20160106,720,0,96
20160107,633,0,92
20160108,708,0,106
20160109,655,0,101
20160110,549,0,87
20160111,798,0,118
20160112,737,0,100
20160113,708,0,103
20160114,698,0,101
20160115,830,0,108
20160116,655,0,92
20160117,533,0,82
20160118,574,0,93
20160119,794,0,132
20160120,720,0,97
20160121,767,0,101
20160122,802,0,101
20160123,433,0,31
20160124,559,0,42
20160125,721,0,62
20160126,819,0,85
20160127,755,0,85
20160128,786,0,105
20160129,728,0,83
20160130,679,0,82
20160131,601,0,69
20160201,834,0,118
20160202,828,0,117
20160203,693,0,114
20160204,708,0,99
20160205,716,0,109
20160206,656,0,103
20160207,499,0,76
20160208,569,0,67
20160209,651,0,80
20160210,625,0,88
20160211,741,0,119
20160212,739,0,111
20160213,559,0,79
20160214,348,0,39
20160215,340,0,50
20160216,724,0,109
20160217,595,0,70
20160218,687,0,95
20160219,608,0,76
20160220,650,0,95
20160221,569,0,87
20160222,698,0,83
20160223,735,0,113
20160224,772,0,112
20160225,773,0,110
20160226,564,0,89
20160227,467,0,79
20160228,594,0,85
20160229,719,0,103
20160301,756,0,95
20160302,753,0,100
20160303,715,0,90
20160304,790,0,108
20160305,710,0,109
20160306,589,0,89
20160307,659,0,88
20160308,742,0,111
20160309,783,0,123
20160310,730,0,101
20160311,782,0,113
20160312,730,0,108
20160313,509,0,78
20160314,744,0,118
20160315,695,0,100
20160316,727,0,124
20160317,699,0,108
20160318,744,0,113
20160319,624,0,105
20160320,565,0,99
20160321,737,0,130
20160322,718,0,112
20160323,717,0,108
20160324,738,0,122
20160325,650,0,110
20160326,635,0,113
20160327,535,0,85
20160328,788,0,137
20160329,791,0,124
20160330,761,0,118
20160331,759,0,117
20160401,842,0,144
20160402,706,0,118
20160403,689,0,113
20160404,809,0,134
20160405,784,0,117
20160406,731,0,116
20160407,748,0,122
20160408,815,0,138
20160409,662,0,107
20160410,607,0,114
20160411,718,0,101
20160412,747,0,113
20160413,823,0,135
20160414,789,0,120
20160415,850,0,127
20160416,806,0,141
20160417,690,0,133
20160418,817,0,137
20160419,876,0,151
20160420,842,0,155
20160421,825,0,136
20160422,867,0,129
20160423,786,0,147
